function,depth,seed,init_mode,snapped,final_loss,snappability,nan_epoch,converged,symbolic_form,expected_depth,post_snap_loss,valid_snap
ln,5,11,warm,1,0.6569949388504028,1.0,-1,0,"eml(1,eml(1,1))",4,0.6690109968185425,0
ln,5,0,curriculum,1,0.6475967168807983,1.0,-1,0,"eml(1,eml(1,1))",4,0.6690109968185425,0
ln,5,1,curriculum,1,0.6477315425872803,1.0,-1,0,"eml(1,eml(1,1))",4,0.6690109968185425,0
ln,5,2,curriculum,1,0.6546007394790649,1.0,-1,0,"eml(1,eml(1,1))",4,0.6690109968185425,0
ln,5,3,curriculum,1,0.6519848108291626,1.0,-1,0,"eml(1,eml(1,1))",4,0.6690109968185425,0
ln,5,4,curriculum,1,0.6463177800178528,1.0,-1,0,"eml(1,eml(1,1))",4,0.6690109968185425,0
ln,5,5,curriculum,1,0.6521602869033813,1.0,-1,0,"eml(1,eml(1,1))",4,0.6690109968185425,0
ln,5,6,curriculum,1,0.6553065776824951,1.0,-1,0,"eml(1,eml(1,1))",4,0.6690109968185425,0
ln,5,7,curriculum,1,0.6556625366210938,1.0,-1,0,"eml(1,eml(1,1))",4,0.6690109968185425,0
ln,5,8,curriculum,1,0.650063693523407,1.0,-1,0,"eml(1,eml(1,1))",4,0.6690109968185425,0
ln,5,9,curriculum,1,0.6524456739425659,1.0,-1,0,"eml(1,eml(1,1))",4,0.6690109968185425,0
ln,5,10,curriculum,1,0.6491810083389282,1.0,-1,0,"eml(1,eml(1,1))",4,0.6690109968185425,0
ln,5,11,curriculum,1,0.6539404392242432,1.0,-1,0,"eml(1,eml(1,1))",4,0.6690109968185425,0
exp,3,0,blind,1,0.31024497747421265,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,3,1,blind,1,0.1742590367794037,1.0,-1,0,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,2,blind,1,0.09617846459150314,1.0,-1,0,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,3,blind,1,0.12333393096923828,1.0,-1,0,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,4,blind,1,0.1428685486316681,1.0,-1,0,"eml(1,eml(1,1))",2,1.5039230585098267,0
exp,3,5,blind,1,0.30945882201194763,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,3,6,blind,1,0.10711077600717545,1.0,-1,0,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,7,blind,1,0.14477205276489258,1.0,-1,0,"eml(1,eml(1,1))",2,1.5039230585098267,0
exp,3,8,blind,1,0.13323242962360382,1.0,-1,0,"eml(1,eml(1,1))",2,1.5039230585098267,0
exp,3,9,blind,1,0.1601288914680481,1.0,-1,0,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,10,blind,1,0.0882096216082573,1.0,-1,0,"eml(x,eml(1,x))",2,1.0600560903549194,0
exp,3,11,blind,1,0.3119538426399231,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
