function,depth,seed,snapped,final_loss,snappability,nan_epoch,converged,symbolic_form,expected_depth,post_snap_loss,valid_snap
exp,3,10,1,0.13653303682804108,1.0,-1,0,"eml(1,eml(1,1))",2,1.5039230585098267,0
exp,3,11,1,0.012959751300513744,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,3,12,1,0.005517659243196249,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,3,13,1,0.09432756155729294,1.0,-1,0,"eml(1,eml(1,1))",2,1.5039230585098267,0
exp,3,14,1,0.003958534449338913,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,3,15,1,0.11503453552722931,1.0,-1,0,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,16,1,0.10883422940969467,1.0,-1,0,"eml(x,x)",2,0.6877624988555908,0
exp,3,17,1,0.11320792138576508,1.0,-1,0,"eml(x,x)",2,0.6877624988555908,0
exp,3,18,1,0.09858497232198715,1.0,-1,0,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,19,1,0.31239861249923706,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,4,0,1,0.13312089443206787,1.0,-1,1,"eml(x,eml(1,eml(x,x)))",2,0.7832037806510925,0
exp,4,1,1,0.0005977596156299114,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,4,2,1,0.14629405736923218,1.0,-1,0,"eml(x,1)",2,5.948822945356369e-08,1
exp,4,3,1,0.023810135200619698,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,4,4,1,0.005616235546767712,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,4,5,1,0.16433528065681458,1.0,-1,0,"eml(x,eml(1,eml(x,x)))",2,0.7832037806510925,0
exp,4,6,1,0.17213059961795807,1.0,-1,0,"eml(x,eml(1,eml(x,1)))",2,0.9117155075073242,0
exp,4,7,1,0.0014948329189792275,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,4,8,1,0.021269507706165314,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,4,9,1,0.004977860022336245,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,4,10,1,0.0036538024432957172,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,4,11,1,0.01800336129963398,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,4,12,1,0.008618585765361786,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,4,13,1,0.16941915452480316,1.0,-1,0,"eml(x,1)",2,5.948822945356369e-08,1
exp,4,14,1,0.011828393675386906,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,4,15,1,0.013871354050934315,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,4,16,1,0.0007546450942754745,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,4,17,1,0.0054986486211419106,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,4,18,1,0.18426629900932312,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,4,19,1,0.0423368439078331,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,5,0,0,nan,nan,282,0,,2,nan,0
exp,5,1,1,0.049981869757175446,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,5,2,0,nan,nan,1452,0,,2,nan,0
exp,5,3,1,0.18671643733978271,1.0,-1,0,"eml(x,eml(1,1))",2,0.9999998807907104,0
exp,5,4,1,0.3358656167984009,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,5,5,1,0.17090053856372833,1.0,-1,0,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,5,6,1,0.01047884114086628,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,5,7,1,0.2022133469581604,1.0,-1,0,"eml(1,eml(1,eml(x,x)))",2,1.2720927000045776,0
exp,5,8,1,0.0152903962880373,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,5,9,1,0.0005753305740654469,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,5,10,1,0.027762196958065033,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,5,11,1,0.03954437002539635,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
